outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction
case,APR 2021,202114,12-17,all_types,7,"37,563","29,779","17,419,211",18.63535926,170.9549302,9.173685774,,,,0
case,APR 2021,202114,18-29,all_types,605,"2,566,968","72,753","30,729,886",23.56866155,236.7499834,10.04511787,,,,0
case,APR 2021,202114,30-49,all_types,"1,702","7,496,182","94,039","40,556,939",22.70489164,231.8690767,10.21229612,,,,0
case,APR 2021,202114,50-64,all_types,"1,429","7,526,807","48,476","22,811,353",18.98547419,212.508219,11.19320049,,,,0
case,APR 2021,202114,65-79,all_types,"1,562","14,492,776","14,183","7,599,545",10.77778336,186.6295943,17.31613896,,,,0
case,APR 2021,202114,80+,all_types,717,"4,974,044","3,447","2,497,663",14.41483027,138.0090108,9.574098915,,,,0
case,APR 2021,202114,all_ages_adj,Janssen,"1,064","2,328,579","262,677","121,614,597",45.69310296,215.9913419,4.727000967,41.22050577,214.122036,5.194551402,0
case,APR 2021,202114,all_ages_adj,Moderna,"1,645","16,226,512","262,677","121,614,597",10.13773015,215.9913419,21.30569058,23.0637401,214.122036,9.283925119,0
case,APR 2021,202114,all_ages_adj,Pfizer,"3,305","18,491,327","262,677","121,614,597",17.87324404,215.9913419,12.08461886,20.64473292,214.122036,10.37175133,0
case,APR 2021,202114,all_ages_adj,all_types,"6,022","37,094,340","262,677","121,614,597",16.23428264,215.9913419,13.30464343,20.10243454,214.122036,10.65154748,0
case,APR 2021,202115,12-17,all_types,5,"56,419","29,407","17,153,164",8.862262713,171.4377592,19.34469388,,,,0
case,APR 2021,202115,18-29,all_types,693,"3,198,800","66,899","28,831,838",21.66437414,232.0316866,10.71028801,,,,0
