Week of COVID-19 ,Number of  COVID Cases
2021-01-10,3989
2021-01-17,3472
2021-01-24,2899
2021-01-31,2344
2021-02-07,2028
2021-02-14,1664
2021-02-21,1584
2021-02-28,1501
2021-03-07,1568
2021-03-14,1719
2021-03-21,1786
2021-03-28,1837
2021-04-04,1978
2021-04-11,1807
2021-04-18,1637
2021-04-25,1511
2021-05-02,1314
2021-05-09,1098
2021-05-16,912
2021-05-23,658
2021-05-30,628
2021-06-06,594
2021-06-13,512
2021-06-20,635
2021-06-27,755
2021-07-04,1028
2021-07-11,1416
2021-07-18,1832
2021-07-25,2229
2021-08-01,2575
2021-08-08,2723
2021-08-15,2709
2021-08-22,2714
2021-08-29,2355
2021-09-05,2407
2021-09-12,2012
2021-09-19,1822
2021-09-26,1599
2021-10-03,1364
2021-10-10,1206
2021-10-17,1189
2021-10-24,1160
2021-10-31,1205
2021-11-07,1129
2021-11-14,1180
2021-11-21,1298
2021-11-28,1151
2021-12-05,1487
2021-12-12,2269
2021-12-19,4233
2021-12-26,7194
2022-01-02,6908
